Main Activity,Sub-Activity,Hazard,Initial_L,Initial_S,Initial_Risk,Control_Measures,Residual_L,Residual_S,Residual_Risk
Chemical Handling,Solvent use,Fire caused by ignition of flammable vapors,3,5,15,Eliminate ignition sources; Provide respiratory mask and ensure ventilation,1,5,5
Chemical Handling,Mixing,Toxic reaction from mixing incompatible chemicals,3,5,15,Follow SDS instructions; Provide respiratory mask and ensure ventilation,1,5,5
Chemical Handling,Storage,Leakage from improperly sealed containers,3,4,12,Inspect containers regularly,2,3,6
Chemical Handling,Application,Skin irritation from repeated exposure to chemicals,3,3,9,Use protective clothing,2,2,4
Piling Works,Bored piling,Borehole collapse due to unstable soil layers,3,5,15,Install casing and monitor,2,5,10
Piling Works,Pile driving,Noise exposure exceeding safe limits,4,3,12,Provide hearing protection,2,2,4
Piling Works,Setup,Instability of piling rig due to uneven ground,3,5,15,Level and stabilize rig,2,5,10
Piling Works,Drilling,Damage to underground utilities due to lack of survey,3,5,15,Conduct pre-drilling survey,1,5,5
Piling Works,Operation,Worker struck by moving piling equipment,4,5,20,Define exclusion zones,2,5,10
Site Preparation,Land clearing,Worker struck by moving equipment due to blind spots,4,5,20,Use spotter and signals,2,5,10
Site Preparation,Grading,Vehicle skidding on loose or wet ground,3,4,12,Stabilize surface,2,3,6
Site Preparation,Cleanup,Injury from sharp debris during manual handling,3,3,9,Wear gloves,2,2,4
Site Preparation,Temporary access,Trip hazard from uneven walking surfaces,3,2,6,Maintain level pathways,2,2,4
Site Preparation,General work,Dust inhalation due to dry site conditions,3,3,9,Apply water suppression; Provide respiratory mask and ensure ventilation,2,2,4
Work at Height,Scaffold work,Fall due to stepping onto partially secured working platform during erection,4,5,20,Restrict access until platform is secured and inspected; Use safety harness and lanyard at all times,2,5,10
Work at Height,Roof work,Slip and fall caused by dust accumulation reducing surface friction,3,5,15,Clean surface and use anti-slip footwear,2,5,10
Work at Height,Facade installation,Fall while adjusting panel due to improper anchorage of safety harness,4,5,20,Ensure proper anchorage before work; Use safety harness and lanyard at all times,2,5,10
Work at Height,Inspection,Fall due to misjudging edge distance under low visibility,3,5,15,Install edge markings and lighting; Use safety harness and lanyard at all times,2,5,10
Work at Height,Ladder work,Fall caused by ladder shifting due to uneven base,3,4,12,Stabilize ladder and inspect ground; Use safety harness and lanyard at all times,2,3,6
Work at Height,Platform work,Loss of balance during sudden equipment movement,3,5,15,Ensure stable operation of platform; Use safety harness and lanyard at all times,2,5,10
Work at Height,Maintenance,Fall due to fatigue from extended work hours,3,5,15,Implement work-rest cycles; Use safety harness and lanyard at all times,2,5,10
Work at Height,Roof access,Fall due to lack of designated access route,4,5,20,Provide secured access system; Use safety harness and lanyard at all times,2,5,10
Work at Height,Edge work,Fall caused by simultaneous operations causing distraction,3,5,15,Coordinate tasks and isolate work zones; Use safety harness and lanyard at all times,2,5,10
Work at Height,Scaffold dismantling,Fall due to premature removal of safety components,4,5,20,Follow proper dismantling sequence; Use safety harness and lanyard at all times,2,5,10
Electrical Works,Cable installation,Electric shock due to contact with partially exposed live conductor,3,5,15,Ensure full isolation and insulation,1,5,5
Electrical Works,Panel work,Arc flash caused by loose connections under load,3,5,15,Tighten and inspect all connections; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Maintenance,Shock due to backfeed from alternate power source,3,5,15,Verify isolation from all sources,1,5,5
Electrical Works,Installation,Contact with concealed wiring during drilling,3,5,15,Use cable locator before drilling,1,5,5
Electrical Works,Temporary wiring,Overheating cables due to excessive load demand,3,4,12,Use proper load-rated cables,2,3,6
Electrical Works,Inspection,Exposure to live terminals due to missing covers,3,5,15,Install protective covers; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Testing,Arc flash during energization without proper PPE,3,5,15,Use arc-rated PPE,1,5,5
Electrical Works,Repair,Shock caused by faulty insulated tools,3,5,15,Inspect tools before use; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Connection work,Short circuit due to incorrect wiring sequence,3,4,12,Follow approved wiring diagrams,2,3,6
Electrical Works,DB setup,Fire hazard from uneven load distribution,3,4,12,Balance load across circuits; Obtain hot work permit and station fire extinguisher,2,3,6
Excavation,Trenching,Collapse due to unsupported trench walls in loose soil,4,5,20,Install trench support systems,2,5,10
Excavation,Deep excavation,Wall failure due to prolonged exposure without reinforcement,4,5,20,Provide staged reinforcement,2,5,10
Excavation,Utility excavation,Damage to underground utility due to inaccurate mapping,3,5,15,Conduct utility scanning,1,5,5
Excavation,Earthworks,Worker struck by excavator due to blind spot,4,5,20,Use banksman and alarms,2,5,10
Excavation,Backfilling,Entrapment due to collapse during compaction,4,5,20,Stabilize trench before compaction,2,5,10
Excavation,Pit excavation,Fall into pit due to lack of barricades,3,4,12,Install guardrails; Use safety harness and lanyard at all times,2,3,6
Excavation,Manual digging,Injury from sharp buried objects,3,3,9,Use PPE and tools,2,2,4
Excavation,Trenching,Collapse due to water ingress weakening soil,4,5,20,Provide dewatering system,2,5,10
Excavation,Excavation near road,Collapse due to vibration from traffic,4,5,20,Reinforce trench walls; Wear hearing protection and ear defenders,2,5,10
Excavation,Excavation work,Slip into trench due to loose soil conditions,3,4,12,Maintain safe edges,2,3,6
Lifting Operations,Crane lifting,Load dropped due to failure of lifting sling,4,5,20,Inspect lifting gear before use,2,5,10
Lifting Operations,Crane operation,Collision due to poor visibility during lift,3,5,15,Use signalman and cameras,2,5,10
Lifting Operations,Rigging,Load imbalance due to incorrect sling angle,3,4,12,Ensure proper rigging techniques; Use safety harness and lanyard at all times,2,3,6
Lifting Operations,Material lifting,Load swing due to sudden crane movement,3,5,15,Use taglines,2,5,10
Lifting Operations,Mobile crane,Crane tipping due to unstable ground,3,5,15,Assess ground stability,2,5,10
Concrete Works,Concrete pouring,Formwork collapse due to excessive load,4,5,20,Follow design specifications,2,5,10
Concrete Works,Rebar work,Injury from exposed reinforcement bars,3,5,15,Install protective caps,2,4,8
Concrete Works,Formwork removal,Fall from height during dismantling,4,5,20,Use fall protection systems; Use safety harness and lanyard at all times,2,5,10
Concrete Works,Finishing,Slip hazard from wet surface,3,2,6,Maintain housekeeping,2,2,4
Concrete Works,Mixing,Dust inhalation from cement handling,3,3,9,Use masks and ventilation,2,2,4
Welding Works,Arc welding,Eye injury due to exposure to arc light,3,3,9,Use welding helmet,1,2,2
Welding Works,Hot work,Fire due to sparks contacting combustible materials,3,5,15,Clear flammable materials,1,5,5
Welding Works,Gas cutting,Explosion due to gas leakage,3,5,15,Inspect hoses and regulators; Provide respiratory mask and ensure ventilation,1,5,5
Welding Works,Grinding,Burn injury from sparks,3,4,12,Wear PPE,2,3,6
Welding Works,Confined welding,Fume inhalation due to poor ventilation,3,5,15,Provide exhaust ventilation,1,5,5
Material Handling,Manual lifting,Back strain from improper lifting technique,4,3,12,Provide training and aids,2,2,4
Material Handling,Manual handling,Hand injury from sharp materials,3,3,9,Use gloves,2,2,4
Material Handling,Forklift operation,Collision due to poor visibility,4,5,20,Use mirrors and alarms,2,5,10
Material Handling,Forklift use,Load falling due to improper stacking,3,4,12,Secure loads; Use safety harness and lanyard at all times,2,3,6
Material Handling,Storage,Collapse of stacked materials,3,4,12,Follow stacking limits,2,3,6
Work at Height,Scaffold work,Fall due to unsecured toe boards allowing foot misplacement,4,5,20,Install toe boards and inspect platforms; Use safety harness and lanyard at all times,2,5,10
Work at Height,Roof work,Fall caused by stepping on brittle roofing material,4,5,20,Identify fragile surfaces and install covers; Use safety harness and lanyard at all times,2,5,10
Work at Height,Facade work,Loss of balance while handling oversized panels in windy conditions,3,5,15,Suspend work during high winds and secure loads; Use safety harness and lanyard at all times,2,5,10
Work at Height,Inspection,Fall due to unclear demarcation of edge boundaries,3,5,15,Mark edges clearly with visual barriers,2,5,10
Work at Height,Ladder work,Fall due to ladder placed at incorrect angle,3,4,12,Maintain correct ladder angle and secure top; Use safety harness and lanyard at all times,2,3,6
Work at Height,Platform work,Fall due to sudden jerking movement of mechanical platform,3,5,15,Operate platform smoothly and conduct maintenance; Use safety harness and lanyard at all times,2,5,10
Work at Height,Maintenance,Fall caused by carrying tools without proper storage while climbing,3,5,15,Use tool belts or hoisting systems; Use safety harness and lanyard at all times,2,5,10
Work at Height,Roof access,Fall due to absence of guardrails along access path,4,5,20,Install guardrails along all access routes; Use safety harness and lanyard at all times,2,5,10
Work at Height,Edge work,Fall while avoiding moving loads near edge area,3,5,15,Separate lifting and edge work zones; Use safety harness and lanyard at all times,2,5,10
Work at Height,Scaffold dismantling,Fall due to instability after partial removal of structural members,4,5,20,Follow dismantling plan step-by-step; Use safety harness and lanyard at all times,2,5,10
Electrical Works,Cable installation,Electric shock from contact with damaged insulation in damp conditions,3,5,15,Inspect insulation and keep area dry; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Panel work,Arc flash due to incorrect tightening sequence of terminals,3,5,15,Follow correct sequence and supervision; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Maintenance,Shock caused by failure to identify multiple power sources,3,5,15,Isolate and verify all energy sources; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Installation,Contact with live conductor due to outdated circuit drawings,3,5,15,Verify drawings before work,1,5,5
Electrical Works,Temporary wiring,Fire hazard from coiled cables generating heat,3,4,12,Uncoil cables and monitor load; Obtain hot work permit and station fire extinguisher,2,3,6
Electrical Works,Inspection,Shock from exposed busbars due to missing covers,3,5,15,Install proper covers and barriers; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Testing,Arc flash during fault testing without proper PPE,3,5,15,Use arc-rated PPE and follow procedures,1,5,5
Electrical Works,Repair,Electric shock from improper grounding during repair,3,5,15,Verify grounding system integrity; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Connection work,Short circuit caused by loose connections under vibration,3,4,12,Secure all connections firmly; Wear hearing protection and ear defenders,2,3,6
Electrical Works,DB setup,Fire due to overheating from poor ventilation inside panel,3,4,12,Ensure adequate ventilation,2,3,6
Excavation,Trenching,Collapse due to surcharge load placed near trench edge,4,5,20,Keep heavy loads away from trench edge; Use safety harness and lanyard at all times,2,5,10
Excavation,Deep excavation,Soil collapse caused by inadequate benching in deep cuts,4,5,20,Provide proper benching and support,2,5,10
Excavation,Utility excavation,Gas leak due to accidental strike on pipeline,3,5,15,Use detection equipment and permits; Provide respiratory mask and ensure ventilation,1,5,5
Excavation,Earthworks,Worker struck due to reversing equipment in blind spot,4,5,20,Use reversing alarms and spotters,2,5,10
Excavation,Backfilling,Entrapment due to collapse of side walls during filling,4,5,20,Compact gradually and monitor stability,2,5,10
Excavation,Pit excavation,Fall into excavation during night work with poor lighting,3,4,12,Install adequate lighting and barriers; Use safety harness and lanyard at all times,2,3,6
Excavation,Manual digging,Injury from contact with buried sharp debris,3,3,9,Wear gloves and use tools carefully,2,2,4
Excavation,Trenching,Collapse due to vibration from nearby heavy machinery,4,5,20,Limit vibration and reinforce trench; Wear hearing protection and ear defenders,2,5,10
Excavation,Excavation near structure,Settlement of adjacent structure due to excavation,4,5,20,Provide structural support,2,5,10
Excavation,Excavation work,Slip hazard due to muddy conditions near trench edge,3,4,12,Improve ground condition; Use safety harness and lanyard at all times,2,3,6
Lifting Operations,Crane lifting,Load drop due to improper use of lifting accessories,4,5,20,Use certified lifting gear,2,5,10
Lifting Operations,Crane operation,Collision with nearby structure due to poor planning,3,5,15,Conduct lift planning and clearance checks,2,5,10
Lifting Operations,Rigging,Load imbalance caused by uneven sling length,3,4,12,Adjust sling lengths properly; Use safety harness and lanyard at all times,2,3,6
Lifting Operations,Material lifting,Load swing due to uncontrolled crane movement,3,5,15,Use taglines and trained operator,2,5,10
Lifting Operations,Mobile crane,Crane instability due to uneven outrigger setup,3,5,15,Ensure proper outrigger deployment,2,5,10
Lifting Operations,Hoisting,Load falling due to failure of lifting point,4,5,20,Verify lifting points before operation; Use safety harness and lanyard at all times,2,5,10
Lifting Operations,Crane lifting,Load striking workers due to poor communication,4,5,20,Use standard hand signals,2,5,10
Lifting Operations,Material handling,Load shift due to sudden stopping of crane,3,4,12,Operate crane smoothly,2,3,6
Lifting Operations,Crane operation,Operator fatigue affecting judgment,3,5,15,Schedule adequate rest,2,5,10
Lifting Operations,Rigging,Pinch point injury during sling adjustment,3,3,9,Keep hands clear and wear gloves,2,2,4
Concrete Works,Concrete pouring,Formwork failure due to incorrect spacing of supports,4,5,20,Follow approved design drawings,2,5,10
Concrete Works,Rebar work,Trip hazard due to loose reinforcement materials,3,3,9,Maintain proper storage,2,2,4
Concrete Works,Formwork removal,Fall due to unstable access platform during dismantling,4,5,20,Use certified access systems; Use safety harness and lanyard at all times,2,5,10
Concrete Works,Finishing,Slip due to wet surface combined with poor lighting,3,2,6,Improve lighting and housekeeping,2,2,4
Concrete Works,Mixing,Dust inhalation due to improper handling of dry cement,3,3,9,Use masks and ventilation,2,2,4
Welding Works,Arc welding,Eye injury from prolonged exposure to arc light,3,3,9,Use proper eye protection; Use full face shield and FR jacket,1,2,2
Welding Works,Hot work,Fire caused by sparks igniting nearby insulation material,3,5,15,Remove combustibles and monitor area; Obtain hot work permit and station fire extinguisher,1,5,5
Welding Works,Gas cutting,Explosion due to damaged gas cylinder valve,3,5,15,Inspect cylinders before use; Provide respiratory mask and ensure ventilation,1,5,5
Welding Works,Grinding,Burn injury from hot debris contacting skin,3,4,12,Wear protective clothing,2,3,6
Welding Works,Confined welding,Fume inhalation due to inadequate ventilation,3,5,15,Provide forced ventilation,1,5,5
Material Handling,Manual lifting,Back injury from lifting heavy loads without proper posture,4,3,12,Provide lifting training,2,2,4
Material Handling,Manual handling,Hand injury due to sharp material edges,3,3,9,Use protective gloves; Use safety harness and lanyard at all times,2,2,4
Material Handling,Forklift operation,Collision with worker due to restricted visibility,4,5,20,Install mirrors and alarms,2,5,10
Material Handling,Forklift use,Load falling due to improper pallet stacking,3,4,12,Ensure stable stacking; Use safety harness and lanyard at all times,2,3,6
Material Handling,Storage,Collapse of stacked goods due to uneven base,3,4,12,Ensure level base,2,3,6
Work at Height,Scaffold work,Fall due to loose scaffold fittings causing platform instability,4,5,20,Tighten and inspect all fittings before use; Use safety harness and lanyard at all times,2,5,10
Work at Height,Roof work,Fall caused by stepping on wet moss-covered surface,3,5,15,Clean surface and use anti-slip footwear,2,5,10
Work at Height,Facade work,Fall while handling materials due to loss of grip in humid conditions,3,5,15,Use proper gloves and secure materials; Use safety harness and lanyard at all times,2,5,10
Work at Height,Inspection,Fall due to absence of warning signs near open edges,3,5,15,Install signage and barriers; Use safety harness and lanyard at all times,2,5,10
Work at Height,Ladder work,Fall due to ladder not extending above landing point,3,4,12,Ensure ladder extends at least 1 meter above landing; Use safety harness and lanyard at all times,2,3,6
Work at Height,Platform work,Fall caused by overloading working platform beyond capacity,3,5,15,Follow platform load limits; Use safety harness and lanyard at all times,2,5,10
Work at Height,Maintenance,Fall due to improper use of fall arrest system,4,5,20,Train workers on correct harness use,2,5,10
Work at Height,Roof access,Fall due to lack of secured access ladder,4,5,20,Install fixed access ladder; Use safety harness and lanyard at all times,2,5,10
Work at Height,Edge work,Fall caused by sudden movement of nearby suspended load,3,5,15,Maintain safe distance from lifting operations; Use safety harness and lanyard at all times,2,5,10
Work at Height,Scaffold dismantling,Fall due to inadequate supervision during dismantling process,4,5,20,Provide competent supervision; Use safety harness and lanyard at all times,2,5,10
Electrical Works,Cable installation,Electric shock due to improper isolation procedure,3,5,15,Implement lockout-tagout system,1,5,5
Electrical Works,Panel work,Arc flash due to accumulated dust inside electrical panel,3,5,15,Clean panels regularly; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Maintenance,Shock caused by damaged grounding system,3,5,15,Inspect grounding regularly; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Installation,Contact with live wire due to incorrect identification of circuits,3,5,15,Label and verify circuits; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Temporary wiring,Overheating due to poor ventilation around cables,3,4,12,Ensure proper airflow,2,3,6
Electrical Works,Inspection,Shock due to exposed wiring during inspection,3,5,15,Cover exposed parts; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Testing,Arc flash caused by incorrect test procedure,3,5,15,Follow testing protocol; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Repair,Electric shock due to use of worn-out tools,3,5,15,Replace damaged tools; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Connection work,Short circuit due to improper tightening of terminals,3,4,12,Tighten connections properly; Apply lockout tagout and use insulated gloves,2,3,6
Electrical Works,DB setup,Fire hazard due to cable congestion inside panel,3,4,12,Organize cable layout; Apply lockout tagout and use insulated gloves,2,3,6
Excavation,Trenching,Collapse due to over-excavation beyond safe depth,4,5,20,Follow excavation depth limits,2,5,10
Excavation,Deep excavation,Soil collapse due to lack of drainage system,4,5,20,Install drainage system,2,5,10
Excavation,Utility excavation,Exposure to hazardous substance from damaged pipe,3,5,15,Identify and isolate utilities,1,5,5
Excavation,Earthworks,Worker struck by moving dump truck in work zone,4,5,20,Use traffic management plan,2,5,10
Excavation,Backfilling,Entrapment hazard due to sudden trench collapse,4,5,20,Stabilize trench before filling,2,5,10
Excavation,Pit excavation,Fall into pit during poor lighting conditions,3,4,12,Install lighting and barricades; Use safety harness and lanyard at all times,2,3,6
Excavation,Manual digging,Injury due to improper use of digging tools,3,3,9,Train workers on tool use,2,2,4
Excavation,Trenching,Collapse due to adjacent excavation activity,4,5,20,Coordinate excavation works,2,5,10
Excavation,Excavation near structure,Damage to nearby structure due to soil movement,4,5,20,Provide structural support,2,5,10
Excavation,Excavation work,Slip hazard due to uneven ground surface,3,4,12,Level working surface,2,3,6
Lifting Operations,Crane lifting,Load drop due to failure of lifting chain,4,5,20,Inspect chains before use,2,5,10
Lifting Operations,Crane operation,Collision due to operator blind spot,3,5,15,Use cameras and spotters,2,5,10
Lifting Operations,Rigging,Load imbalance due to incorrect rigging configuration,3,4,12,Use proper rigging plan; Use safety harness and lanyard at all times,2,3,6
Lifting Operations,Material lifting,Load swing due to sudden stopping of crane,3,5,15,Operate crane smoothly,2,5,10
Lifting Operations,Mobile crane,Crane tipping due to incorrect outrigger setup,3,5,15,Deploy outriggers correctly,2,5,10
Lifting Operations,Hoisting,Load falling due to damaged lifting hook,4,5,20,Inspect hooks regularly; Use safety harness and lanyard at all times,2,5,10
Lifting Operations,Crane lifting,Load striking workers due to lack of exclusion zone,4,5,20,Establish exclusion zones,2,5,10
Lifting Operations,Material handling,Load shift due to improper securing,3,4,12,Secure loads properly,2,3,6
Lifting Operations,Crane operation,Operator fatigue leading to errors,3,5,15,Schedule adequate rest,2,5,10
Lifting Operations,Rigging,Hand injury due to pinch point during rigging,3,3,9,Wear gloves and keep clear,2,2,4
Concrete Works,Concrete pouring,Formwork collapse due to improper assembly,4,5,20,Inspect formwork before pouring,2,5,10
Concrete Works,Rebar work,Injury due to tripping over reinforcement bars,3,3,9,Maintain clear pathways,2,2,4
Concrete Works,Formwork removal,Fall from height during dismantling,4,5,20,Use fall protection systems; Use safety harness and lanyard at all times,2,5,10
Concrete Works,Finishing,Slip hazard due to wet concrete surface,3,2,6,Use signage and clean area,2,2,4
Concrete Works,Mixing,Dust inhalation from cement exposure,3,3,9,Use masks; Provide respiratory mask and ensure ventilation,2,2,4
Welding Works,Arc welding,Eye injury due to lack of eye protection,3,3,9,Use welding helmet,1,2,2
Welding Works,Hot work,Fire due to sparks igniting nearby materials,3,5,15,Clear flammable materials,1,5,5
Welding Works,Gas cutting,Explosion due to improper handling of cylinders,3,5,15,Secure cylinders properly; Obtain hot work permit and station fire extinguisher,1,5,5
Welding Works,Grinding,Burn injury from hot particles,3,4,12,Wear protective clothing,2,3,6
Welding Works,Confined welding,Fume inhalation due to poor ventilation,3,5,15,Provide ventilation,1,5,5
Material Handling,Manual lifting,Back injury from lifting heavy loads incorrectly,4,3,12,Provide ergonomic training,2,2,4
Material Handling,Manual handling,Hand injury due to sharp edges,3,3,9,Use gloves; Use safety harness and lanyard at all times,2,2,4
Material Handling,Forklift operation,Collision due to limited visibility,4,5,20,Install mirrors and alarms,2,5,10
Material Handling,Forklift use,Load falling due to improper stacking,3,4,12,Stack materials properly; Use safety harness and lanyard at all times,2,3,6
Material Handling,Storage,Collapse of stacked materials due to overloading,3,4,12,Limit stacking height,2,3,6
Demolition,Wall demolition,Collapse due to improper demolition sequence,4,5,20,Follow demolition plan,2,5,10
Demolition,Concrete breaking,Flying debris causing injury,4,4,16,Use barriers and PPE,2,3,6
Demolition,Structural demolition,Collapse due to removal of key supports,4,5,20,Conduct engineering review,2,5,10
Demolition,Interior work,Dust inhalation hazard,3,3,9,Use masks and ventilation,2,2,4
Demolition,Equipment use,Noise exposure causing hearing loss,4,3,12,Use hearing protection,2,2,4
Confined Space,Tank entry,Toxic gas exposure due to poor monitoring,3,5,15,Use gas detectors,1,5,5
Confined Space,Sewer work,Oxygen deficiency causing suffocation risk,3,5,15,Provide continuous monitoring; Provide respiratory mask and ensure ventilation,1,5,5
Confined Space,Maintenance,Delayed rescue due to lack of planning,3,5,15,Prepare rescue plan,1,5,5
Confined Space,Inspection,Heat stress due to poor ventilation,3,4,12,Provide ventilation,2,3,6
Confined Space,Entry,Slip hazard due to wet surface,3,3,9,Use anti-slip footwear,2,2,4
Chemical Handling,Painting,Inhalation of fumes causing irritation,3,3,9,Use respirators,2,2,4
Chemical Handling,Solvent use,Fire due to ignition of vapors,3,5,15,Eliminate ignition sources; Provide respiratory mask and ensure ventilation,1,5,5
Chemical Handling,Mixing,Toxic reaction due to improper mixing,3,5,15,Follow SDS guidelines; Provide respiratory mask and ensure ventilation,1,5,5
Chemical Handling,Storage,Leakage from containers,3,4,12,Inspect containers,2,3,6
Chemical Handling,Application,Skin irritation due to chemical exposure,3,3,9,Use PPE; Wear chemical resistant gloves and protective apron,2,2,4
Piling Works,Bored piling,Borehole collapse due to unstable soil,3,5,15,Install casing,2,5,10
Piling Works,Pile driving,Noise exposure exceeding limits,4,3,12,Use hearing protection,2,2,4
Piling Works,Setup,Instability due to uneven ground,3,5,15,Level equipment,2,5,10
Piling Works,Drilling,Damage to underground utilities,3,5,15,Conduct survey,1,5,5
Piling Works,Operation,Worker struck by equipment,4,5,20,Define exclusion zones,2,5,10
Site Preparation,Land clearing,Worker struck by moving equipment,4,5,20,Use spotter,2,5,10
Site Preparation,Grading,Vehicle skidding on wet ground,3,4,12,Stabilize surface,2,3,6
Site Preparation,Cleanup,Injury from sharp debris,3,3,9,Wear gloves,2,2,4
Site Preparation,Temporary access,Trip hazard due to uneven surface,3,2,6,Maintain pathways,2,2,4
Site Preparation,General work,Dust inhalation due to dry conditions,3,3,9,Apply water suppression; Provide respiratory mask and ensure ventilation,2,2,4
Work at Height,Scaffold work,Fall due to vibration loosening scaffold components during nearby machinery operation,4,5,20,Inspect scaffold regularly and secure components; Use safety harness and lanyard at all times,2,5,10
Work at Height,Roof work,Fall caused by sudden loss of balance while stepping over uneven roof joints,3,5,15,Provide walking boards and fall protection; Use safety harness and lanyard at all times,2,5,10
Work at Height,Facade work,Fall while adjusting suspended platform under shifting load conditions,3,5,15,Stabilize load before adjustment; Use safety harness and lanyard at all times,2,5,10
Work at Height,Inspection,Fall due to reliance on temporary unsecured access during inspection,4,5,20,Use approved access systems only; Use safety harness and lanyard at all times,2,5,10
Work at Height,Ladder work,Fall caused by using damaged ladder with worn-out steps,3,4,12,Inspect and replace defective ladders; Use safety harness and lanyard at all times,2,3,6
Work at Height,Platform work,Fall due to overreaching while handling equipment at height,3,5,15,Reposition platform frequently; Use safety harness and lanyard at all times,2,5,10
Work at Height,Maintenance,Fall caused by slipping on oil-contaminated surface at height,3,5,15,Clean surfaces and use anti-slip footwear,2,5,10
Work at Height,Roof access,Fall due to climbing without maintaining three-point contact,3,4,12,Train workers on safe climbing techniques; Use safety harness and lanyard at all times,2,3,6
Work at Height,Edge work,Fall caused by distraction from simultaneous lifting activity nearby,3,5,15,Isolate work zones and coordinate tasks; Use safety harness and lanyard at all times,2,5,10
Work at Height,Scaffold dismantling,Fall due to instability created during removal of diagonal braces,4,5,20,Follow dismantling sequence strictly; Use safety harness and lanyard at all times,2,5,10
Electrical Works,Cable installation,Electric shock due to moisture penetration into cable insulation,3,5,15,Use waterproof insulation and inspect cables; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Panel work,Arc flash caused by accumulation of conductive dust inside panel,3,5,15,Clean and maintain panels regularly; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Maintenance,Shock due to incomplete isolation of multi-source power system,3,5,15,Verify all energy sources are isolated; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Installation,Contact with live conductor due to incorrect labeling of circuits,3,5,15,Ensure accurate labeling and verification,1,5,5
Electrical Works,Temporary wiring,Overheating cables due to bundling without spacing,3,4,12,Provide spacing between cables,2,3,6
Electrical Works,Inspection,Shock hazard from exposed terminals during inspection,3,5,15,Install protective covers; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Testing,Arc flash due to incorrect test equipment setup,3,5,15,Use proper test procedures; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Repair,Electric shock caused by damaged grounding connection,3,5,15,Check grounding integrity; Apply lockout tagout and use insulated gloves,1,5,5
Electrical Works,Connection work,Short circuit due to loose wiring under vibration,3,4,12,Secure connections properly; Wear hearing protection and ear defenders,2,3,6
Electrical Works,DB setup,Fire hazard from overcrowded cable arrangement inside panel,3,4,12,Organize cable routing; Apply lockout tagout and use insulated gloves,2,3,6
Excavation,Trenching,Collapse due to prolonged exposure to rain weakening trench walls,4,5,20,Install support and drainage systems,2,5,10
Excavation,Deep excavation,Soil failure due to absence of benching in deep cuts,4,5,20,Provide benching and shoring,2,5,10
Excavation,Utility excavation,Damage to underground gas line causing hazardous leak,3,5,15,Use detection tools before excavation; Provide respiratory mask and ensure ventilation,1,5,5
Excavation,Earthworks,Worker struck by reversing machinery due to blind spot,4,5,20,Use spotter and alarms,2,5,10
Excavation,Backfilling,Entrapment due to collapse of partially filled trench,4,5,20,Compact gradually and monitor stability,2,5,10
Excavation,Pit excavation,Fall into excavation due to missing guardrails,3,4,12,Install barriers and signage; Use safety harness and lanyard at all times,2,3,6
Excavation,Manual digging,Injury from contact with buried debris,3,3,9,Use protective gloves,2,2,4
Excavation,Trenching,Collapse due to heavy load placed near trench edge,4,5,20,Restrict load near edges,2,5,10
Excavation,Excavation near structure,Damage to nearby building due to soil displacement,4,5,20,Provide structural support,2,5,10
Excavation,Excavation work,Slip hazard due to muddy conditions near excavation,3,4,12,Improve ground conditions,2,3,6
Lifting Operations,Crane lifting,Load dropped due to failure of worn lifting accessories,4,5,20,Inspect lifting gear before use,2,5,10
Lifting Operations,Crane operation,Collision due to limited visibility in congested area,3,5,15,Use cameras and signalman,2,5,10
Lifting Operations,Rigging,Load imbalance caused by improper sling configuration,3,4,12,Follow rigging plan; Use safety harness and lanyard at all times,2,3,6
Lifting Operations,Material lifting,Load swing due to sudden crane acceleration,3,5,15,Control crane speed,2,5,10
Lifting Operations,Mobile crane,Crane tipping due to inadequate ground compaction,3,5,15,Prepare stable ground,2,5,10
Lifting Operations,Hoisting,Load falling due to failure of lifting point,4,5,20,Verify lifting points; Use safety harness and lanyard at all times,2,5,10
Lifting Operations,Crane lifting,Load striking workers due to absence of exclusion zone,4,5,20,Establish exclusion zones,2,5,10
Lifting Operations,Material handling,Load shift due to uneven weight distribution,3,4,12,Balance load properly,2,3,6
Lifting Operations,Crane operation,Operator fatigue leading to delayed reaction,3,5,15,Ensure adequate rest,2,5,10
Lifting Operations,Rigging,Pinch injury during rigging due to poor coordination,3,3,9,Improve communication and training,2,2,4
Concrete Works,Concrete pouring,Formwork collapse due to improper alignment of supports,4,5,20,Align supports correctly,2,5,10
